ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price	Pins	3DModel	Contributor	JLCPCB Part Class	link
"1"	"100nF"	"C1,C5,C7"	"C0402"	"3"	"CL05B104KB54PNC"	"SAMSUNG(三星)"	"LCSC"	"C307331"	"0.004"	"2"	"C0402_L1.0-W0.5-H0.5"	"LCSC"	"Basic Part"	"https://item.szlcsc.com/15869.html"
"2"	"10nF"	"C3"	"C0402"	"1"	"CL05B103KB5NNNC"	"SAMSUNG(三星)"	"LCSC"	"C15195"	"0.002"	"2"	"C0402_L1.0-W0.5-H0.5"	"lcsc"	"Basic Part"	"https://item.szlcsc.com/15869.html"
"3"	"10uF"	"C2,C9"	"C0603"	"2"	"CL10A106MA8NRNC"	"SAMSUNG(三星)"	"LCSC"	"C96446"	"0.018"	"2"	"C0603_L1.6-W0.8-H0.8"	"lcsc"	"Basic Part"	"https://item.szlcsc.com/362304.html"
"4"	"22uF"	"C4,C8"	"C0805"	"2"	"CL21A226MAQNNNE"	"SAMSUNG(三星)"	"LCSC"	"C45783"	"0.031"	"2"	"C0805_L2.0-W1.3-H1.3"	"lcsc"	"Basic Part"	"https://item.szlcsc.com/373011.html"
"5"	"100uF"	"C6"	"CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-R-RD"	"1"	"RVT1E101M0607"	"HONOR(荣誉)"	"LCSC"	"C3338"	"0.035"	"2"	"CAP-SMD_L6.6-W6.6-H7.0-LS7.2"	"lcsc"	"Extended Part"	"https://item.szlcsc.com/265679.html"
"6"	"SS24"	"D1,D2"	"SMA_L4.3-W2.6-LS5.2-RD"	"2"	"SS24"	"MDD(辰达半导体)"	"LCSC"	"C50645"	"0.022"	"2"	"SMA_L4.3-W2.6-LS5.2-RD"	"lcsc"	"Extended Part"	"https://item.szlcsc.com/34721.html"
"7"	"HDR-M-2.54_1x2"	"J2"	"HDR-M-2.54_1X2"	"1"	""	""	"LCSC"	"C124375"	"0.027"	"2"	"HDR-M-2.54_1x2"	"LCEDA_Lib"	""	""
"8"	"Breakable Jumper"	"JUMP1,JUMP6,JUMP7,JUMP8,JUMP9,JUMP10"	"BREAKABLE JUMPER"	"6"	""	""	""	""	""	"2"	""	"mathias_"	""	""
"9"	"Jumper"	"JUMP2,JUMP3,JUMP5"	"JUMPER"	"3"	""	""	""	""	""	"2"	""	"mathias_"	""	""
"10"	"Breakable Jumpber 3 Way"	"JUMP4"	"BREAKABLE JUMPER 3 WAY"	"1"	""	""	""	""	""	"3"	""	"mathias_"	""	""
"11"	"SRA-12VDC-CL"	"K1,K2,K3,K4"	"RELAY-TH_SRA-X-CX"	"4"	"SRA-12VDC-CL"	"松乐"	"LCSC"	"C60169"	"0.373"	"5"	"RELAY-TH_L16.0-W12.4-H14.2-C"	"lcsc"	"Extended Part"	"https://item.szlcsc.com/61221.html"
"12"	"4.7uH"	"L1"	"IND-SMD_L5.0-W5.0"	"1"	"SWPA5040S4R7NT"	"Sunlord(顺络)"	"LCSC"	"C305174"	""	"2"	"IND-SMD_L5.0-W5.0-H2.1"	"lcsc"	"Extended Part"	"https://item.szlcsc.com/332165.html"
"13"	"KT-0603R"	"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8"	"LED0603-RD"	"8"	"KT-0603R"	"KENTO"	"LCSC"	"C2286"	"0.007"	"2"	"LED0603-RD"	"lcsc"	"Basic Part"	"https://item.szlcsc.com/347874.html"
"14"	"WJ301V-5.0-2P"	"P1,P6,P7,P8"	"CONN-TH_2P-P5.00_WJ301V-5.00-2P"	"4"	"WJ301V-5.0-02P-12-00A"	"KANGNEX(康奈克斯电气)"	"LCSC"	"C8475"	"0.101"	"2"	"CONN-TH_2P-P5.00_WJ301V-5.00-2P"	"立创EDA官方封装库"	"Extended Part"	"https://item.szlcsc.com/8969.html"
"15"	"WJ301V-5.0-3P"	"P2,P3,P4,P5"	"CONN-TH_2P-P5.00_WJ301V-5.00-3P"	"4"	"WJ301V-5.0-03P-12-00A"	"KANGNEX(康奈克斯电气)"	"LCSC"	"C8483"	"0.161"	"3"	"CONN-TH_2P-P5.00_WJ301V-5.00-3P"	"立创EDA官方封装库"	"Extended Part"	"https://item.szlcsc.com/8977.html"
