Name,Quantity,Supplier,Supplier Part,Price (€),Link
100nF,3,JLCPCB,C307331,0.01,https://www.lcsc.com/product-detail/C307331.html?spm=wm.gwc.xh.16.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
10uF,2,JLCPCB,C96446,0.03,https://www.lcsc.com/product-detail/C96446.html?spm=wm.gwc.xh.17.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
10nF,1,JLCPCB,C15195,0.01,https://www.lcsc.com/product-detail/C15195.html?spm=wm.gwc.xh.18.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
22uF,2,JLCPCB,C45783,0.05,https://www.lcsc.com/product-detail/C45783.html?spm=wm.gwc.xh.19.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
100uF,1,JLCPCB,C3338,0.03,https://www.lcsc.com/product-detail/C3338.html?spm=wm.gwc.xh.20.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
SS24,2,JLCPCB,C50645,0.03,https://www.lcsc.com/product-detail/C50645.html?spm=wm.gwc.xh.21.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
SRA-12VDC-CL,4,JLCPCB,C60169,1.64,https://www.lcsc.com/product-detail/C60169.html?spm=wm.gwc.xh.14.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
4.7uH,1,JLCPCB,C305174,0.07,https://www.lcsc.com/product-detail/C6364810.html?spm=wm.gwc.xh.23.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
KT-0603R,8,JLCPCB,C2286,0.04,https://www.lcsc.com/product-detail/C2286.html?spm=wm.gwc.xh.0.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
WJ301V-5.0-2P,3,JLCPCB,C8475,0.26,https://www.lcsc.com/product-detail/C8475.html?spm=wm.gwc.xh.13.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
