Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"C1"	"C0402"	"36.96mm"	"21.97mm"	"36.96mm"	"21.97mm"	"36.96mm"	"21.55mm"	"T"	"90"	"100nF"
"C2"	"C0603"	"18.92mm"	"63.5mm"	"18.92mm"	"63.5mm"	"19.62mm"	"63.5mm"	"T"	"180"	"10uF"
"C3"	"C0402"	"19.05mm"	"57.4mm"	"19.05mm"	"57.4mm"	"18.63mm"	"57.4mm"	"T"	"0"	"10nF"
"C4"	"C0805"	"31.88mm"	"61.6mm"	"31.88mm"	"61.6mm"	"30.88mm"	"61.6mm"	"T"	"0"	"22uF"
"C5"	"C0402"	"107.57mm"	"40.01mm"	"107.57mm"	"40.01mm"	"107.57mm"	"40.43mm"	"T"	"270"	"100nF"
"C6"	"CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-R-RD"	"126.49mm"	"39.62mm"	"126.49mm"	"39.62mm"	"126.49mm"	"37.07mm"	"T"	"270"	"100uF"
"C7"	"C0402"	"76mm"	"11mm"	"76mm"	"11mm"	"76mm"	"11.42mm"	"T"	"270"	"100nF"
"C8"	"C0805"	"76mm"	"7mm"	"76mm"	"7mm"	"76mm"	"6mm"	"T"	"90"	"22uF"
"C9"	"C0603"	"37.21mm"	"49.66mm"	"37.21mm"	"49.66mm"	"37.91mm"	"49.66mm"	"T"	"180"	"10uF"
"D1"	"SMA_L4.3-W2.6-LS5.2-RD"	"11.56mm"	"59.18mm"	"11.56mm"	"59.18mm"	"13.76mm"	"59.18mm"	"T"	"180"	"SS24"
"D2"	"SMA_L4.3-W2.6-LS5.2-RD"	"24.51mm"	"55.88mm"	"24.51mm"	"55.88mm"	"24.51mm"	"53.68mm"	"T"	"90"	"SS24"
"J2"	"HDR-M-2.54_1X2"	"2.92mm"	"54.23mm"	"2.92mm"	"54.23mm"	"2.92mm"	"55.5mm"	"T"	"270"	"HDR-M-2.54_1x2"
"J6"	"HDR-M-2.54_1X6"	"70mm"	"65mm"	"70mm"	"65mm"	"63.65mm"	"65mm"	"T"	"0"	"HDR-M-2.54_1x6"
"J7"	"HDR-M-2.54_1X4"	"50mm"	"65mm"	"50mm"	"65mm"	"46.19mm"	"65mm"	"T"	"0"	"HDR-M-2.54_1x4"
